CRASH_ID,SER_NO,CRASH_DT,CRASH_MO_NO,CRASH_DAY_NO,CRASH_YR_NO,CRASH_WK_DAY_CD,CRASH_HR_NO,CRASH_HR_SHORT_DESC,CNTY_ID,CNTY_NM,CITY_SECT_ID,CITY_SECT_NM,URB_AREA_CD,URB_AREA_SHORT_NM,FC_CD,FC_SHORT_DESC,NHS_FLG,HWY_NO,HWY_SFX_NO,HWY_MED_NM,RDWY_NO,HWY_COMPNT_CD,HWY_COMPNT_SHORT_DESC,MLGE_TYP_CD,MLGE_TYP_SHORT_DESC,RD_CON_NO,LRS_VAL,LAT_DEG_NO,LAT_MINUTE_NO,LAT_SEC_NO,LONGTD_DEG_NO,LONGTD_MINUTE_NO,LONGTD_SEC_NO,LAT_DD,LONGTD_DD,SPECL_JRSDCT_ID,SPECL_JRSDCT_SHORT_DESC,JRSDCT_GRP_CD,JRSDCT_GRP_LONG_DESC,AGY_ST_NO,ST_FULL_NM,RECRE_RD_NM,ISECT_AGY_ST_NO,ISECT_ST_FULL_NM,ISECT_RECRE_RD_NM,ISECT_SEQ_NO,FROM_ISECT_DSTNC_QTY,CMPSS_DIR_CD,MP_NO,POST_SPEED_LMT_VAL,RD_CHAR_CD,RD_CHAR_SHORT_DESC,OFF_RDWY_FLG,ISECT_TYP_CD,ISECT_TYP_SHORT_DESC,ISECT_REL_FLG,RNDABT_FLG,DRVWY_REL_FLG,LN_QTY,TURNG_LEG_QTY,MEDN_TYP_CD,MEDN_TYP_SHORT_DESC,IMPCT_LOC_CD,CRASH_TYP_CD,CRASH_TYP_SHORT_DESC,COLLIS_TYP_CD,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_CD,CRASH_SVRTY_SHORT_DESC,WTHR_COND_CD,WTHR_COND_SHORT_DESC,RD_SURF_COND_CD,RD_SURF_SHORT_DESC,LGT_COND_CD,LGT_COND_SHORT_DESC,TRAF_CNTL_DEVICE_CD,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_FUNC_FLG,INVSTG_AGY_CD,INVSTG_AGY_SHORT_DESC,CRASH_EVNT_1_CD,CRASH_EVNT_1_SHORT_DESC,CRASH_EVNT_2_CD,CRASH_EVNT_2_SHORT_DESC,CRASH_EVNT_3_CD,CRASH_EVNT_3_SHORT_DESC,CRASH_CAUSE_1_CD,CRASH_CAUSE_1_SHORT_DESC,CRASH_CAUSE_2_CD,CRASH_CAUSE_2_SHORT_DESC,CRASH_CAUSE_3_CD,CRASH_CAUSE_3_SHORT_DESC,SCHL_ZONE_IND,WRK_ZONE_IND,ALCHL_INVLV_FLG,DRUG_INVLV_FLG,MJ_INVLV_FLG,CRASH_SPEED_INVLV_FLG,CRASH_HIT_RUN_FLG,POP_RNG_CD,POP_RNG_MED_DESC,RD_CNTL_CD,RD_CNTL_MED_DESC,RTE_TYP_CD,RTE_ID,RTE_NM,REG_ID,DIST_ID,SEG_MRK_ID,SEG_PT_LRS_MEAS,UNLOCT_FLG,CRASH_LAST_UD_DT,TOT_VHCL_CNT,TOT_FATAL_CNT,TOT_INJ_LVL_A_CNT,TOT_INJ_LVL_B_CNT,TOT_INJ_LVL_C_CNT,TOT_INJ_CNT,TOT_UNINJD_AGE00_04_CNT,TOT_UNINJD_PER_CNT,TOT_PED_CNT,TOT_PED_FATAL_CNT,TOT_PED_INJ_LVL_A_CNT,TOT_PED_INJ_CNT,TOT_PEDCYCL_CNT,TOT_PEDCYCL_FATAL_CNT,TOT_PEDCYCL_INJ_LVL_A_CNT,TOT_PEDCYCL_INJ_CNT,TOT_UNKNWN_CNT,TOT_UNKNWN_FATAL_CNT,TOT_UNKNWN_INJ_CNT,TOT_OCCUP_CNT,TOT_PER_INVLV_CNT,TOT_SFTY_EQUIP_USED_QTY,TOT_SFTY_EQUIP_UNUSED_QTY,TOT_SFTY_EQUIP_USE_UNKNWN_QTY,TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT,TOT_MCYCLST_FATAL_CNT,TOT_MCYCLST_INJ_LVL_A_CNT,TOT_MCYCLST_INJ_CNT,TOT_MCYCLST_UNHELMTD_FATAL_CNT,TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT,TOT_DRVR_AGE_01_20_CNT,LANE_RDWY_DPRT_CRASH_FLG
1785627,04001,05/12/18 00:00:00,05,12,2018,7,00,12A,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,16,U MN-ART,0,,,,,,,,,,,45,29,24.290000000000000,-122,32,15.720000000000000,45.490080555555333,-122.537699999999333,,,,,01055  ,SE HOLGATE BLVD             ,,05122  ,SE 122ND AVE                ,,1,140,1,,35,3,STRGHT  ,0,,,0,0,1,4,,0,NONE ,08,B,ANGL-OTH  ,6,TURN    ,4,INJ,2,CLD ,1,DRY ,2,DLIT,099,UNKNOWN   ,1,3,CITY  ,,,,,,,02,NO-YIELD,,,,,0,0,0,0,0,0,1,9,"Over 200,000",1,PORTLAND CITY STREET,,,,1,02C,58_182914,,0,10/30/19 17:21:04,2,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,N
1785632,04004,05/12/18 00:00:00,05,12,2018,7,20,8P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,16,U MN-ART,0,,,,,,,,,,,45,31,8.970000000000000,-122,29,54.960000000000000,45.519158333332667,-122.498599999999333,,,,,02259  ,SE STARK ST                 ,,05160  ,SE 160TH AVE                ,,1,100,3,,,3,STRGHT  ,0,,,0,0,0,4,,0,NONE ,07,E,S-1STOP   ,3,REAR    ,4,INJ,1,CLR ,1,DRY ,2,DLIT,099,UNKNOWN   ,1,3,CITY  ,004,INDRCT PED,,,,,29,F AVOID ,,,,,0,0,0,0,0,0,1,9,"Over 200,000",1,PORTLAND CITY STREET,,,,1,02B,58_500721,,0,10/30/19 17:21:04,2,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,N
1785643,04012,05/12/18 00:00:00,05,12,2018,7,20,8P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,14,U PR-ART,1,068,  ,CASCADE HWY NORTH,1,0,MN,0,R,,006800100S00,45,30,1.270000000000000,-122,34,43.300000000000000,45.500352777777000,-122.578694444443667,,,,,05082  ,SE 82ND AVE                 ,,00268  ,SE BROOKLYN ST              ,,1,,5,4.55000019e+00,35,3,STRGHT  ,0,,,0,0,1,5,,0,NONE ,04,H,O-1 L-TURN,6,TURN    ,4,INJ,1,CLR ,1,DRY ,2,DLIT,099,UNKNOWN   ,1,5,NO RPT,,,,,,,02,NO-YIELD,,,,,,,0,0,0,0,0,9,"Over 200,000",2,PORTLAND HWY SYSTEM,OR,213  ,OR 213    ,1,02B,293_21403,,0,10/30/19 17:21:04,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,1,0,0,0,N
1785645,04018,05/12/18 00:00:00,05,12,2018,7,14,2P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,14,U PR-ART,1,068,  ,CASCADE HWY NORTH,1,0,MN,0,R,,006800100S00,45,28,7.170000000000000,-122,34,44.520000000000000,45.468658333332667,-122.579033333332667,,,,,00817  ,SE FLAVEL ST                ,,05082  ,SE 82ND AVE                 ,,1,,1,6.73000002e+00,35,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,06,E,S-1STOP   ,3,REAR    ,4,INJ,1,CLR ,1,DRY ,1,DAY ,001,TRF SIGNAL,1,5,NO RPT,013,FORCED    ,,,,,29,F AVOID ,,,,,,,0,0,0,0,0,9,"Over 200,000",2,PORTLAND HWY SYSTEM,OR,213  ,OR 213    ,1,02B,293_19730,,0,10/30/19 17:21:04,3,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,1,N
1785670,04023,05/13/18 00:00:00,05,13,2018,1,17,5P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,16,U MN-ART,0,,,,,,,,,,,45,31,9.680000000000000,-122,39,27.870000000000000,45.519355555554667,-122.657741666666000,,,,,02210  ,SE SANDY BLVD               ,,02259  ,SE STARK ST                 ,,1,0,9,,,1,INTER   ,0,6,6-LEG  ,0,0,0,,0,,,01,H,O-1 L-TURN,6,TURN    ,4,INJ,1,CLR ,1,DRY ,1,DAY ,001,TRF SIGNAL,1,0,NONE  ,001,FEL/JUMP  ,,,,,02,NO-YIELD,,,,,,,0,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,,,,1,02B,58_115160,,0,10/30/19 17:21:04,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,1,0,0,0,N
1785694,04027,05/13/18 00:00:00,05,13,2018,1,11,11A,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,16,U MN-ART,0,,,,,,,,,,,45,28,52.430000000000000,-122,34,23.810000000000000,45.481230555554667,-122.573280555554667,,,,,00824  ,SE FOSTER RD                ,,05087  ,SE 87TH AVE                 ,,1,0,9,,,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,03,B,ANGL-OTH  ,1,ANGL    ,4,INJ,1,CLR ,1,DRY ,1,DAY ,001,TRF SIGNAL,1,5,NO RPT,,,,,,,02,NO-YIELD,,,,,,,0,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,,,,1,02B,58_126818,,0,10/30/19 17:21:04,2,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,N
1785701,04792,06/01/18 00:00:00,06,01,2018,6,20,8P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,11,U INTRST,0,064,  ,EAST PORTLAND FREEWAY,1,6,CN,0,R,4,0064BN100S00,45,28,45.660000000000000,-122,34,0.560000000000000,45.479349999999667,-122.566822222221667,,,,,00824  ,SE FOSTER RD                ,,05094  ,SE 94TH AVE                 ,,1,,9,1.79099998e+01,55,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,03,B,ANGL-OTH  ,6,TURN    ,4,INJ,1,CLR ,1,DRY ,1,DAY ,001,TRF SIGNAL,1,3,CITY  ,,,,,,,02,NO-YIELD,,,,,0,0,0,0,0,0,0,9,"Over 200,000",2,PORTLAND HWY SYSTEM,IS,205  ,I-205     ,1,02B,293_6093,,0,10/30/19 17:21:04,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1,N
1785708,04793,06/02/18 00:00:00,06,02,2018,7,19,7P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,14,U PR-ART,1,068,  ,CASCADE HWY NORTH,1,0,MN,0,R,,006800100S00,45,30,17.360000000000000,-122,34,43.250000000000000,45.504822222222000,-122.578680555554667,,,,,00614  ,SE DIVISION ST              ,,05082  ,SE 82ND AVE                 ,,1,,1,4.23999977e+00,35,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,06,E,S-1STOP   ,3,REAR    ,4,INJ,1,CLR ,1,DRY ,1,DAY ,001,TRF SIGNAL,1,3,CITY  ,040,CURB      ,058,OTH SIGN  ,,,01,TOO-FAST,,,,,0,0,0,0,0,1,0,9,"Over 200,000",2,PORTLAND HWY SYSTEM,OR,213  ,OR 213    ,1,02B,293_21402,,0,10/30/19 17:21:04,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,1,0,0,0,N
1785713,04797,06/08/18 00:00:00,06,08,2018,6,17,5P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,19,U LOCAL ,0,,,,,,,,,,,45,30,38.850000000000000,-122,38,1.490000000000000,45.510791666666000,-122.633747222221333,,,,,01528  ,SE MARKET ST                ,,05031  ,SE 31ST AVE                 ,,1,0,9,,,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,01,B,ANGL-OTH  ,1,ANGL    ,4,INJ,3,RAIN,2,WET ,1,DAY ,004,STOP SIGN ,1,0,NONE  ,,,,,,,03,PAS-STOP,01,TOO-FAST,,,,,0,0,0,1,0,9,"Over 200,000",1,PORTLAND CITY STREET,,,,1,02B,58_117881,,0,10/30/19 17:21:04,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,N
1785741,04801,06/08/18 00:00:00,06,08,2018,6,19,7P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,17,U MJ-COL,0,,,,,,,,,,,45,29,50.590000000000000,-122,31,24.760000000000000,45.497386111110333,-122.523544444443667,,,,,02158  ,SE RHINE ST                 ,,05136  ,SE 136TH AVE                ,,1,0,1,,,1,INTER   ,0,3,3-LEG  ,0,0,0,,0,,,05,E,S-1STOP   ,3,REAR    ,4,INJ,3,RAIN,2,WET ,1,DAY ,099,UNKNOWN   ,1,0,NONE  ,,,,,,,01,TOO-FAST,,,,,,,0,0,0,1,0,9,"Over 200,000",1,PORTLAND CITY STREET,,,,1,02B,58_122966,,0,10/30/19 17:21:04,2,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,N
