PaymentPlan,Date,Duration,Occasion,Distance_Miles,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
Subscriber,2019-07-01,00:01:40,Normal Thursday,0.16,45.5257331,-122.6372284,45.52373453,-122.6372065
Subscriber,2019-07-01,00:04:15,Normal Thursday,0.37,45.5251698,-122.6785327,45.5266787,-122.6735353
Subscriber,2019-07-01,00:08:58,Normal Thursday,1.19,45.50624163,-122.6633379,45.522975,-122.6637546
Subscriber,2019-07-01,00:03:04,Normal Thursday,0.36,45.523595,-122.6372618,45.52297292,-122.6434118
Subscriber,2019-07-01,00:05:37,Normal Thursday,0.59,45.523601,-122.6455064,45.522793,-122.656616
Casual,2019-07-01,00:03:04,Normal Thursday,0.45,45.53142501,-122.6895659,45.53409115,-122.6949424
Subscriber,2019-07-01,00:07:05,Normal Thursday,0.74,45.5264324,-122.6712304,45.5286366,-122.6820195
Casual,2019-07-01,00:12:47,Normal Thursday,2.08,45.52440674,-122.6497686,45.50468892,-122.6345551
Subscriber,2019-07-01,00:02:37,Normal Thursday,0.16,45.5229341,-122.6597069,45.52358836,-122.6619177
Subscriber,2019-07-01,00:06:02,Normal Thursday,0.62,45.5314412,-122.6865198,45.53409115,-122.6949424
Subscriber,2019-07-01,00:03:27,Normal Thursday,0.34,45.5075539,-122.6848411,45.5100161,-122.6846943
Casual,2019-07-01,00:06:57,Normal Thursday,0.65,45.53080401,-122.6844227,45.52500056,-122.6811048
Casual,2019-07-01,00:21:04,Normal Thursday,3.76,45.511907,-122.6294804,45.5307017,-122.6762415
Casual,2019-07-01,00:01:14,Normal Thursday,0,45.52487653,-122.6965141,45.52487653,-122.6965141
Casual,2019-07-01,00:01:14,Normal Thursday,0,45.52487653,-122.6965141,45.52487653,-122.6965141
Casual,2019-07-01,00:05:47,Normal Thursday,0.44,45.5229722,-122.6821342,45.5250657,-122.684239
Subscriber,2019-07-01,00:54:03,Normal Thursday,2.75,45.54179953,-122.6614845,45.5266354,-122.6765624
Casual,2019-07-01,00:06:41,Normal Thursday,0.8,45.5315321,-122.6814345,45.5230283,-122.6784644
Casual,2019-07-01,00:04:55,Normal Thursday,0.61,45.52487653,-122.6965141,45.5299441,-122.6905093
Subscriber,2019-07-01,00:06:43,Normal Thursday,0.87,45.52862062,-122.6905073,45.52507854,-122.6775563
Subscriber,2019-07-01,00:10:16,Normal Thursday,0.9,45.5330149,-122.6720862,45.5248934,-122.6617261
