NEWID,PRINEARN,FINLWT21,FINCBTAX,BLS_URBN,POPSIZE,EDUC_REF,EDUCA2,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,HISP_REF,HISP2,FAM_TYPE,MARITAL1,REGION,SMSASTAT,HIGH_EDU,EHOUSNGC,TOTEXPCQ,FOODCQ,TRANSCQ,HEALTHCQ,ENTERTCQ,EDUCACQ,TOBACCCQ,STUDFINX,IRAX,CUTENURE,FAM_SIZE,VEHQ,ROOMSQ,INC_HRS1,INC_HRS2,EARNCOMP,NO_EARNR,OCCUCOD1,OCCUCOD2,STATE,DIVISION,TOTXEST,CREDFINX,CREDITB,CREDITX,BUILDING,ST_HOUS,INT_PHON,INT_HOME
03530691,05,18622.187,51000,1,3,11,,38,NA,1,NA,1,NA,2,NA,9,5,2,1,11,987,3030.8,975,240,0,340,0,130,NA,NA,4,5,1,5,55,NA,4,2,07,,39,3,-4467,NA,NA,NA,03,2,,
03530704,02,30041.976,24000,1,4,13,13,32,34,2,1,1,1,2,2,1,1,3,2,13,1556.333,4816.1,390,1177,491,137,544,0,0,NA,4,2,2,6,40,50,2,2,01,12,28,6,3299,0,NA,1100,01,2,,
03530711,03,5638.892,24000,1,3,12,15,54,61,2,1,6,5,2,2,4,1,4,1,15,1706,3734.5,1213.3333,490,282,192,0,0,NA,NA,1,3,1,3,NA,NA,7,1,,,15,9,3927,NA,NA,NA,01,2,,
03530721,03,19598.998,39266,1,2,12,13,64,70,2,1,1,1,2,2,5,1,3,1,13,1442,3376.0667,823.3333,267,365.4,0,0,433.3333,NA,NA,1,3,2,4,NA,NA,7,1,,,40,7,-3480,NA,NA,NA,01,2,,
03530731,03,2088.161,83102,1,4,12,,22,NA,1,NA,1,NA,1,NA,9,5,4,1,12,1779.667,18573,736.6667,13502,0,19,0,86.6667,NA,NA,4,3,2,3,NA,NA,7,2,,,02,9,6154,NA,NA,NA,09,2,,
03530741,04,20501.98,63328,1,4,12,12,78,80,1,2,1,1,2,2,5,1,3,1,14,910.333,2787.4166,736.6667,125,688.6,84,0,0,NA,NA,2,4,4,9,NA,NA,7,2,,,48,7,-5525,NA,NA,NA,01,2,,
03530781,02,24062.609,35094,1,2,12,,65,NA,2,NA,1,NA,1,NA,9,3,2,1,13,501.333,2589.05,683,502.6667,186.8,271,145,86.6667,NA,NA,2,4,2,7,6,NA,4,2,05,,26,3,-6924,NA,NA,NA,01,2,,
03530791,01,16278.759,72910,1,2,15,,46,NA,2,NA,6,NA,2,NA,9,5,3,1,15,1699,3526.75,606.6667,177.3333,266,135,0,0,NA,NA,4,2,3,4,40,NA,4,2,01,,40,7,9395,NA,NA,NA,08,2,,
03530801,02,22525.455,30504,1,3,12,,29,NA,2,NA,2,NA,2,NA,9,5,3,1,12,989.333,2628.75,713,296.6667,62,0,0,65,NA,NA,4,7,1,3,NA,NA,7,1,,,37,5,-7861,NA,NA,NA,01,2,,
03530821,02,16252.025,47070,1,2,13,,69,NA,2,NA,2,NA,2,NA,9,3,2,1,15,1070.333,2486.6334,433.3333,290,165.8,109,0,86.6667,NA,NA,1,2,0,7,35,NA,4,2,11,,26,3,931,NA,NA,NA,01,2,,
03530841,01,17707.831,47000,1,3,13,,55,NA,1,NA,2,NA,2,NA,9,3,2,1,13,1403,3683.6667,975,306,320.6667,115,0,52,NA,NA,4,8,1,6,40,NA,4,3,11,,20,4,-4745,NA,NA,NA,01,2,,
03530864,01,20218.096,0,1,1,13,,60,NA,1,NA,1,NA,2,NA,8,4,1,1,13,940.667,2392.9,407.3333,126.6667,360,80,0,0,NA,NA,1,1,1,8,20,NA,1,1,10,,34,2,5697,NA,NA,NA,01,2,,
03530871,01,21661.119,32564,1,3,12,12,70,71,2,1,1,1,2,2,1,1,1,1,12,831,2449.6,606.6667,253,308.6,75,0,0,NA,NA,4,2,1,5,NA,NA,8,0,,,25,1,0,NA,NA,NA,05,2,,
03530891,01,20995.176,31462,1,4,12,12,87,80,1,2,1,1,2,2,1,1,3,1,12,318.333,1360.9166,368.3333,40,146.8,44,0,0,NA,NA,2,2,1,6,15,NA,1,1,10,,48,7,0,NA,NA,NA,01,2,,
03530901,01,23025.964,19597,1,4,13,,54,NA,2,NA,1,NA,2,NA,8,3,3,1,13,1195,2236.1667,247,30,0,77,0,0,NA,NA,1,1,1,5,35,NA,1,1,06,,37,5,266,NA,NA,NA,01,2,,
03530911,01,35794.003,74000,1,3,14,,28,NA,2,NA,2,NA,2,NA,9,5,3,1,14,3245,7941.3167,1191.6667,975,262.3333,120,280,56.3333,NA,NA,4,4,2,5,40,NA,4,2,06,,45,5,4371,NA,NA,NA,01,2,,
