NEWID,MEMBNO,AGE,SEX,EARNER,EARNTYPE,INC_HRSQ,INCOMEY,OCCUCODE,HISPANIC,MEMBRACE,PAYSTUB,SALARYX,WKSTATUS
03552611,1,58,2,1,2,20,4,10,NA,1,1,8982,1
03552641,1,54,1,1,1,56,1,05,NA,1,2,NA,1
03552641,2,49,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03552651,1,39,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03552651,2,10,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03552651,3,32,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03552651,4,7,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03552651,5,9,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03552681,1,38,1,1,3,50,1,03,NA,1,2,280500,1
03552681,2,34,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03552681,3,11,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552681,4,8,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552681,5,6,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552681,6,3,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552711,1,65,1,1,4,25,4,11,NA,2,2,5500,1
03552711,2,61,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03552711,3,11,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03552711,4,6,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03552731,1,20,2,1,4,30,1,04,NA,1,1,4500,1
03552731,2,23,1,1,1,40,1,12,NA,1,1,15000,1
03552731,3,23,1,1,3,35,1,12,NA,1,1,14500,1
03552731,4,0,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552741,1,76,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03552771,1,70,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03552771,2,38,1,1,1,45,1,11,NA,1,NA,NA,1
03552771,3,42,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03552781,1,70,2,1,2,22,3,09,NA,1,1,11736,1
03552811,1,70,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03552821,1,31,2,1,1,50,1,10,1,1,2,20000,1
03552821,2,34,1,1,1,60,1,12,1,1,2,46800,1
03552831,1,87,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03552831,2,34,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03552831,3,51,1,1,1,50,3,01,NA,1,2,NA,1
03552841,1,69,1,1,3,50,1,01,NA,1,2,25000,1
03552841,2,87,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03552861,1,44,1,1,1,48,3,01,NA,1,2,56000,1
03552861,2,44,2,1,1,40,1,10,NA,1,2,35000,1
03552861,3,13,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552861,4,14,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03552861,5,14,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03552881,1,38,1,1,1,40,1,10,NA,1,2,NA,1
03552881,2,38,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03552881,3,16,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03552881,4,14,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03552881,5,10,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552881,6,8,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552901,1,58,1,1,1,40,3,12,NA,1,1,NA,1
03552901,2,48,2,1,1,48,1,07,NA,1,1,45928,1
03552901,3,27,1,1,1,40,1,11,NA,1,2,NA,1
03552901,4,26,1,1,1,40,1,12,NA,1,2,NA,1
03552911,1,56,2,1,1,42,1,03,NA,2,2,37000,1
03552931,1,34,1,1,1,45,1,11,NA,1,1,40000,1
03552931,2,33,2,1,1,40,1,07,NA,1,1,33000,1
03552931,3,6,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552931,4,15,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03552941,1,22,2,1,1,40,1,10,NA,1,1,24960,1
03552951,1,38,2,1,3,36,1,10,NA,4,2,50400,1
03552951,2,31,1,1,1,45,1,11,NA,1,2,52000,1
03552951,3,14,1,NA,NA,NA,NA,,NA,6,NA,NA,NA
03552951,4,10,1,NA,NA,NA,NA,,NA,6,NA,NA,NA
03552951,5,0,2,NA,NA,NA,NA,,NA,6,NA,NA,NA
03552981,1,41,1,1,1,50,2,03,NA,1,1,100000,1
03553001,1,54,2,1,1,40,1,01,NA,1,1,37500,1
03553051,1,40,1,1,1,40,1,07,NA,1,1,NA,1
03553061,1,70,1,1,1,46,5,06,NA,1,2,NA,2
03553061,2,67,2,1,1,50,5,03,NA,1,2,NA,2
03553071,1,45,1,1,1,40,1,12,NA,2,1,38000,1
03553071,2,35,2,1,3,40,2,03,NA,2,2,18000,1
03553071,3,10,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03553071,4,4,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03553071,5,4,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03553081,1,34,2,1,1,35,4,02,NA,1,2,65000,1
03553081,2,15,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03553101,1,47,2,2,NA,NA,NA,,NA,6,NA,NA,NA
03553101,2,44,1,1,1,60,1,01,NA,1,1,148602,1
03553101,3,24,2,1,1,40,1,05,NA,1,2,19760,1
03553111,1,18,1,1,3,35,4,12,NA,1,2,2500,1
03553141,1,70,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553141,2,71,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03553151,1,35,2,1,1,50,1,01,NA,1,2,72000,1
03553151,2,35,1,1,2,30,1,11,1,1,2,55000,1
03553151,3,4,2,NA,NA,NA,NA,,1,1,NA,NA,NA
03553171,1,50,1,2,NA,NA,NA,,4,1,NA,NA,NA
03553171,2,51,2,1,3,45,1,04,4,1,2,48000,1
03553171,3,68,2,2,NA,NA,NA,,4,1,NA,NA,NA
03553171,4,18,2,2,NA,NA,NA,,4,1,NA,NA,NA
03553201,1,18,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553211,1,44,2,1,4,18,1,09,1,1,2,8000,1
03553211,2,47,1,1,3,40,1,10,2,1,2,16000,1
03553211,3,20,1,2,NA,NA,NA,,2,1,NA,NA,NA
03553211,4,16,1,2,NA,NA,NA,,2,1,NA,NA,NA
03553251,1,46,2,1,1,60,1,11,NA,1,1,66000,1
03553251,2,23,2,1,1,40,1,04,NA,1,1,28000,1
03553251,3,14,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03553251,4,3,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03553261,1,80,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553271,1,41,1,1,1,40,1,06,NA,1,2,96000,1
03553271,2,33,2,1,1,40,1,02,NA,1,2,39000,1
03553271,3,2,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03553281,1,62,1,1,1,50,1,01,NA,1,2,NA,1
03553281,2,62,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553291,1,24,2,1,2,10,1,04,6,1,2,6500,1
03553291,2,6,2,NA,NA,NA,NA,,6,1,NA,NA,NA
03553291,3,56,2,1,2,30,1,09,6,1,2,NA,1
03553291,4,22,1,1,1,40,1,05,6,1,2,21840,1
03553301,1,34,2,1,1,35,1,07,NA,6,2,NA,1
03553301,2,35,1,1,1,40,1,03,NA,1,2,NA,1
03553301,3,3,1,NA,NA,NA,NA,,NA,6,NA,NA,NA
03553321,1,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553361,1,87,1,1,4,9,1,12,NA,1,1,1956,1
03553411,1,52,1,1,1,40,5,03,NA,1,2,NA,2
03553432,1,31,2,1,4,25,1,05,NA,1,2,3750,1
03553432,2,30,1,1,2,30,1,04,NA,1,2,2000,1
03553432,3,3,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03553432,4,1,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03553443,1,29,2,2,NA,NA,NA,,NA,4,NA,NA,NA
03553451,1,25,2,1,1,35,1,05,NA,1,1,7200,1
03553451,2,26,1,1,1,40,1,01,NA,2,1,11000,1
03553451,3,18,2,1,4,12,1,05,NA,3,2,600,1
03553461,1,57,1,1,1,45,3,04,NA,2,2,55000,1
03553461,2,59,2,1,2,12,1,10,NA,2,2,12000,1
03553471,1,23,2,1,2,16,1,05,NA,4,2,3000,1
03553491,1,51,2,1,1,36,1,04,2,1,NA,NA,1
03553491,2,53,1,1,1,40,5,03,NA,1,2,NA,2
03553491,3,15,1,2,NA,NA,NA,,2,1,NA,NA,NA
03553511,1,43,2,1,2,30,1,06,NA,1,2,30000,1
03553511,2,45,1,1,1,40,1,03,NA,1,2,140000,1
03553511,3,14,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553511,4,10,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03553511,5,27,2,1,3,40,1,13,NA,1,NA,NA,1
03553521,1,54,2,1,1,40,1,04,NA,1,1,37000,1
03553521,3,25,1,1,2,25,1,10,NA,1,2,10000,1
03553521,4,22,2,1,2,30,1,10,NA,1,2,NA,1
03553551,1,75,1,1,1,40,1,01,NA,1,NA,NA,1
03553551,2,70,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553561,1,55,2,1,3,72,5,01,1,1,NA,NA,2
03553561,2,26,1,1,1,40,5,11,2,1,2,NA,2
03553561,3,25,2,1,1,40,1,03,2,1,2,NA,1
03553561,4,0,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03553561,5,32,2,2,NA,NA,NA,,2,1,NA,NA,NA
03553561,6,29,1,1,3,80,2,15,2,1,2,45000,1
03553561,7,3,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03553561,8,1,2,NA,NA,NA,NA,,2,1,NA,NA,NA
03553581,1,33,2,2,NA,NA,NA,,6,1,NA,NA,NA
03553581,2,32,1,1,1,40,1,10,6,1,2,25000,1
03553581,3,52,2,1,3,40,1,10,6,1,2,7000,1
03553581,4,12,1,NA,NA,NA,NA,,6,1,NA,NA,NA
03553581,5,5,1,NA,NA,NA,NA,,6,1,NA,NA,NA
03553581,6,2,2,NA,NA,NA,NA,,6,1,NA,NA,NA
03553611,1,55,1,1,2,30,5,09,NA,3,NA,NA,2
03553621,1,75,1,2,NA,NA,NA,,NA,4,NA,NA,NA
03553621,2,68,2,2,NA,NA,NA,,NA,4,NA,NA,NA
03553621,3,33,1,1,1,40,1,04,NA,4,2,46000,1
03553631,1,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553631,2,63,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03553631,3,50,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553641,1,50,2,1,1,40,1,04,NA,6,2,40000,1
03553641,2,57,1,1,3,40,1,12,NA,6,2,NA,1
03553641,4,16,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03553661,1,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553701,1,61,1,1,1,60,2,15,NA,2,NA,NA,1
03553731,1,25,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553731,2,26,1,1,1,50,5,06,NA,1,2,48000,2
03553731,3,2,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03553731,4,1,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03553741,1,43,2,1,1,45,1,01,NA,1,2,80000,1
03553741,2,45,1,1,1,50,1,12,NA,1,2,91000,1
03553741,3,18,2,1,1,35,1,10,NA,1,1,12000,1
03553771,1,53,1,1,3,70,1,10,NA,1,2,50000,1
03553771,2,52,2,1,4,20,3,04,2,1,2,24000,1
03553771,3,15,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03553781,1,45,1,1,1,70,1,07,NA,1,2,75000,1
03553781,2,50,2,1,3,40,1,01,NA,1,2,10000,1
03553791,1,66,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553811,1,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553831,1,56,1,1,1,40,1,03,NA,1,1,77000,1
03553831,2,56,2,1,1,40,1,01,NA,6,2,65000,1
03553831,3,79,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03553831,4,81,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553841,1,53,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03553841,2,20,2,1,1,38,1,05,NA,1,2,NA,1
03553841,3,17,1,1,4,17,1,10,NA,1,2,NA,1
03553851,1,30,2,1,4,30,3,02,4,6,2,NA,1
03553851,2,29,1,1,4,15,5,10,NA,1,NA,NA,2
03553861,1,37,2,1,1,40,1,06,NA,1,2,65000,1
03553861,2,37,1,1,1,40,1,12,NA,1,2,50000,1
03553861,3,8,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03553861,4,6,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03553861,5,12,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03553872,1,24,2,1,1,40,1,03,NA,1,2,14000,1
03553872,2,21,2,1,1,40,1,07,NA,1,2,NA,1
03553881,1,52,1,1,1,45,1,07,NA,1,2,60000,1
03553891,1,32,1,1,1,48,1,05,NA,1,2,NA,1
03553911,1,50,2,2,NA,NA,NA,,NA,4,NA,NA,NA
03553911,2,62,1,2,NA,NA,NA,,NA,4,NA,NA,NA
03553911,3,25,2,1,1,40,1,04,NA,4,1,21000,1
03553921,1,21,2,1,4,25,1,10,NA,1,2,15000,1
03553941,1,80,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553951,1,67,2,1,4,30,1,05,NA,1,1,18600,1
03553951,2,74,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03553971,1,29,1,1,2,15,1,10,NA,1,2,NA,1
03553991,1,51,1,1,3,35,4,03,NA,1,2,80000,1
03553991,2,30,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03553991,3,14,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03554021,1,61,2,1,4,20,1,02,NA,1,2,5000,1
03554021,2,65,1,1,1,40,1,03,6,1,2,90000,1
03554071,1,35,1,1,1,50,1,07,NA,1,2,NA,1
03554071,2,54,2,1,1,60,1,05,NA,1,2,NA,1
03554071,3,26,1,1,1,40,1,07,NA,1,2,NA,1
03554071,4,82,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03554071,5,82,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03554101,1,36,2,1,1,40,3,02,NA,1,2,35000,1
03554101,2,41,1,1,1,40,1,12,NA,1,2,40000,1
03554124,1,66,2,1,4,8,1,01,NA,1,2,12000,1
03554124,2,46,2,1,1,40,1,03,NA,1,2,90000,1
03554124,3,68,1,1,1,37,5,03,NA,1,2,3000,2
03554124,4,12,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554171,1,59,2,1,1,45,1,06,NA,1,2,96000,1
03554171,2,57,1,1,1,55,1,01,NA,1,2,110000,1
03554181,1,48,2,1,2,20,3,02,NA,1,NA,NA,1
03554181,2,52,1,1,1,45,1,03,NA,1,2,50000,1
03554191,1,58,2,1,1,50,5,05,NA,1,NA,NA,2
03554191,2,60,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03554201,1,68,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03554201,2,65,2,1,1,38,1,01,NA,1,2,35400,1
03554211,1,24,1,1,1,60,2,15,NA,1,1,37500,1
03554211,2,22,2,1,3,40,1,10,NA,4,1,11500,1
03554211,3,0,1,NA,NA,NA,NA,,NA,4,NA,NA,NA
03554241,1,27,2,1,4,20,1,05,NA,2,2,NA,1
03554241,2,3,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03554241,3,1,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03554251,1,42,1,1,1,40,1,03,NA,2,2,33000,1
03554251,2,43,2,1,2,20,1,03,NA,2,2,16000,1
03554251,3,7,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03554251,4,9,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03554261,1,64,1,1,1,50,5,12,NA,1,NA,NA,2
03554271,1,56,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03554271,2,27,2,1,1,55,1,06,NA,1,2,41000,1
03554291,1,51,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03554291,2,35,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03554301,1,38,2,1,1,40,2,03,NA,2,2,83000,1
03554311,1,53,2,1,1,50,2,03,NA,1,2,140000,1
03554311,2,52,1,1,1,40,1,03,NA,1,1,150000,1
03554311,3,20,1,1,4,32,1,10,NA,1,2,8192,1
03554311,4,19,2,1,4,8,1,05,NA,1,2,256,1
03554321,1,52,1,1,1,40,1,03,NA,1,2,NA,1
03554331,1,69,2,1,1,40,1,11,NA,2,2,9000,1
03554331,2,68,1,1,3,40,1,11,NA,2,NA,NA,1
03554341,1,42,2,1,1,40,1,06,NA,1,2,28000,1
03554341,2,44,1,1,1,50,4,11,NA,1,1,55000,1
03554341,3,20,2,1,4,30,1,09,NA,1,2,NA,1
03554341,4,18,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03554341,5,15,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03554351,1,30,2,2,NA,NA,NA,,6,1,NA,NA,NA
03554351,2,32,1,1,1,40,1,07,1,1,2,5000,1
03554351,3,12,2,NA,NA,NA,NA,,6,1,NA,NA,NA
03554351,4,4,1,NA,NA,NA,NA,,6,1,NA,NA,NA
03554351,5,1,2,NA,NA,NA,NA,,6,1,NA,NA,NA
03554371,1,64,2,1,1,40,1,10,NA,1,2,23865,1
03554371,2,34,1,1,3,50,1,12,NA,1,2,NA,1
03554371,3,29,2,1,2,16,1,05,NA,1,2,NA,1
03554371,4,10,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554371,5,3,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554381,1,27,2,1,3,40,4,02,NA,1,1,NA,1
03554381,2,22,1,1,1,75,1,13,NA,1,2,NA,1
03554381,3,0,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554391,1,87,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03554401,1,52,1,1,3,40,1,05,NA,1,2,NA,1
03554401,2,57,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03554411,1,40,2,1,1,50,1,03,NA,1,2,145000,1
03554411,2,46,1,1,1,50,1,12,2,1,2,30000,1
03554411,3,3,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554431,1,58,1,1,1,43,4,01,NA,1,NA,NA,1
03554431,2,16,1,1,3,40,1,11,NA,1,NA,NA,1
03554431,3,57,2,1,3,44,1,10,NA,1,NA,NA,1
03554441,1,55,1,1,1,40,1,03,NA,1,2,70000,1
03554441,2,20,2,1,2,30,1,10,NA,1,2,12000,1
03554441,3,11,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554441,4,8,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554481,1,48,2,1,1,50,1,11,1,1,2,NA,1
03554481,2,14,2,2,NA,NA,NA,,2,1,NA,NA,NA
03554494,1,62,1,1,2,18,1,02,NA,1,NA,NA,1
03554494,2,43,1,1,2,30,1,07,NA,1,2,20000,1
03554521,1,36,1,1,1,40,1,11,NA,1,2,50000,1
03554521,2,31,2,1,2,32,1,03,NA,1,2,57000,1
03554521,3,10,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554521,4,5,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554521,5,2,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554521,6,0,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554544,1,22,1,1,1,40,5,01,NA,1,2,NA,2
03554552,1,29,1,1,1,45,1,03,NA,1,2,111000,1
03554552,2,29,2,1,1,40,1,03,NA,1,2,107000,1
03554552,3,0,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554561,1,74,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03554561,2,69,2,1,1,40,1,01,NA,1,2,45000,1
03554561,3,38,1,1,1,40,1,03,NA,1,2,NA,1
03554594,1,31,1,1,1,50,2,15,NA,1,2,NA,1
03554594,2,30,2,2,NA,NA,NA,,NA,4,NA,NA,NA
03554611,1,69,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03554611,2,67,1,1,2,30,5,10,NA,1,NA,NA,2
03554661,1,61,2,2,NA,NA,NA,,NA,4,NA,NA,NA
03554681,1,47,2,1,1,52,1,01,NA,1,2,70000,1
03554681,2,48,1,1,1,45,1,01,NA,1,2,52000,1
03554681,3,15,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03554701,1,70,2,2,NA,NA,NA,,1,1,NA,NA,NA
03554701,2,76,1,2,NA,NA,NA,,1,1,NA,NA,NA
03554721,1,32,2,1,2,20,1,03,NA,1,2,20000,1
03554721,2,32,1,1,1,60,1,03,NA,1,2,65000,1
03554721,3,1,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554731,1,46,2,1,3,50,1,11,NA,1,1,NA,1
03554731,2,31,2,1,1,40,1,03,NA,1,1,NA,1
03554731,3,5,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554731,4,8,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554754,1,20,2,1,3,40,1,05,NA,1,2,5850,1
03554754,2,23,1,1,1,40,2,15,NA,1,2,30000,1
03554791,1,32,1,1,1,35,4,08,NA,1,2,80000,1
03554791,2,30,2,1,1,35,4,08,NA,1,2,80000,1
03554791,3,3,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554801,1,69,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03554801,2,64,2,1,1,40,1,01,NA,1,2,35000,1
03554821,1,49,1,1,3,45,4,02,NA,1,2,40000,1
03554821,2,16,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03554821,3,15,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03554841,1,33,1,1,1,40,1,07,NA,4,2,NA,1
03554841,2,33,2,1,3,40,1,03,NA,4,2,NA,1
03554841,3,4,1,NA,NA,NA,NA,,NA,4,NA,NA,NA
03554851,1,59,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03554861,1,37,1,1,1,55,1,03,NA,4,2,NA,1
03554861,2,35,2,1,1,60,1,03,NA,4,2,NA,1
03554861,3,1,1,NA,NA,NA,NA,,NA,4,NA,NA,NA
03554871,1,59,1,1,2,8,1,13,NA,1,2,NA,1
03554891,1,28,2,1,1,50,5,10,NA,1,NA,NA,2
03554891,2,38,1,1,2,4,5,14,NA,1,2,NA,2
03554891,3,5,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554891,4,3,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03554901,1,77,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03554911,1,54,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03554921,1,51,1,1,1,42,1,13,NA,1,1,50000,1
03554921,2,49,2,1,1,40,1,07,NA,1,1,NA,1
03554921,3,24,1,1,1,40,1,10,NA,1,2,NA,1
03554921,4,20,1,1,3,40,1,08,NA,1,2,NA,1
03554941,1,81,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03554941,2,76,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03554951,1,31,2,1,3,40,1,04,NA,1,2,22000,1
03554951,2,33,1,2,NA,NA,NA,,2,1,NA,NA,NA
03554951,3,12,2,NA,NA,NA,NA,,2,1,NA,NA,NA
03554951,4,5,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03554951,5,1,2,NA,NA,NA,NA,,2,1,NA,NA,NA
03554961,1,38,2,1,2,20,1,03,NA,4,2,NA,1
03554961,2,40,1,1,1,45,1,03,NA,4,2,NA,1
03554961,3,6,2,NA,NA,NA,NA,,NA,4,NA,NA,NA
03554961,4,4,2,NA,NA,NA,NA,,NA,4,NA,NA,NA
03554961,5,1,1,NA,NA,NA,NA,,NA,4,NA,NA,NA
03554991,1,68,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03555011,1,49,1,2,NA,NA,NA,,6,1,NA,NA,NA
03555011,2,60,2,1,1,40,1,03,4,1,2,24000,1
03555011,3,87,2,2,NA,NA,NA,,6,1,NA,NA,NA
03555051,1,53,2,1,1,40,3,10,NA,1,2,NA,1
03555051,2,31,1,1,2,5,1,10,NA,1,2,NA,1
03555051,3,18,2,1,4,25,1,10,NA,1,2,99,1
03555061,1,42,1,1,1,55,1,13,NA,1,2,47000,1
03555061,2,42,2,1,4,32,1,10,NA,1,2,9100,1
03555061,3,17,1,1,4,20,1,10,NA,1,2,2800,1
03555061,4,17,1,1,3,80,1,13,2,1,2,10000,1
03555111,1,50,1,1,1,40,1,03,NA,1,2,47000,1
03555111,2,46,2,1,3,45,1,03,NA,1,2,70000,1
03555111,3,14,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03555121,1,68,2,1,2,32,1,05,NA,1,2,25376,1
03555121,2,32,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03555131,1,79,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03555131,2,75,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03555161,1,36,2,1,1,40,1,04,NA,2,2,NA,1
03555201,1,32,2,1,3,40,3,02,NA,1,2,NA,1
03555223,1,23,2,1,1,36,1,01,6,1,2,20000,1
03555223,2,3,1,NA,NA,NA,NA,,6,1,NA,NA,NA
03555223,3,0,2,NA,NA,NA,NA,,6,1,NA,NA,NA
03555241,1,26,1,1,1,60,1,08,NA,1,2,84000,1
03555241,2,24,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03555241,3,2,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03555241,4,0,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03555251,1,45,2,1,4,32,5,01,NA,1,2,43000,2
03555261,1,58,1,1,1,40,1,07,NA,1,2,27000,1
03555261,2,57,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03555301,1,27,2,1,1,40,3,10,NA,1,2,NA,1
03555301,2,28,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03555322,1,63,2,1,2,29,1,10,NA,6,2,16500,1
03555331,1,60,1,1,1,40,1,10,NA,1,1,52000,1
03555331,2,20,2,1,1,40,1,02,NA,1,2,NA,1
03555341,1,33,1,1,3,40,1,03,NA,4,2,2000,1
03555341,2,33,2,1,3,40,1,03,NA,4,2,117000,1
03555341,3,2,2,NA,NA,NA,NA,,NA,4,NA,NA,NA
03555351,1,23,1,1,4,20,1,11,NA,1,2,3000,1
03555351,2,43,1,1,2,30,1,11,NA,1,2,31000,1
03555351,3,0,2,NA,NA,NA,NA,,4,1,NA,NA,NA
03555351,4,23,2,2,NA,NA,NA,,4,1,NA,NA,NA
03555351,5,41,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03555361,1,53,1,1,1,40,5,06,NA,1,2,75000,2
03555361,2,45,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03555361,3,16,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03555361,4,7,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03555371,1,57,2,1,1,50,5,12,NA,2,NA,NA,2
03555371,2,57,1,1,4,15,1,11,NA,2,NA,NA,1
03555381,1,52,2,1,2,20,4,10,NA,1,2,4000,1
03555381,2,52,1,1,3,50,1,03,NA,1,2,120000,1
03555391,1,80,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03555391,2,87,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03555401,1,40,2,1,1,42,1,01,NA,1,1,46000,1
03555401,2,45,1,1,1,42,1,01,NA,1,1,56000,1
03555401,3,17,1,1,4,15,1,10,NA,1,2,4800,1
03555401,4,14,1,1,4,16,1,10,NA,1,2,1248,1
