NEWID,MEMBNO,AGE,SEX,EARNER,EARNTYPE,INC_HRSQ,INCOMEY,OCCUCODE,HISPANIC,MEMBRACE,PAYSTUB,SALARYX,WKSTATUS
03442462,1,57,2,1,3,50,1,02,NA,1,2,NA,1
03442462,2,57,1,1,1,50,1,06,NA,1,2,NA,1
03442462,3,19,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03442462,4,16,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03442482,1,59,2,1,2,30,1,10,NA,1,2,NA,1
03442482,2,69,1,1,1,40,4,10,NA,1,NA,NA,1
03442492,1,20,1,1,1,60,2,15,NA,1,1,39604,1
03442492,2,19,2,1,4,20,1,10,NA,1,NA,NA,1
03442512,1,36,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03442512,2,39,1,1,1,40,2,15,NA,1,2,NA,1
03442512,3,13,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03442512,4,8,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03442532,1,55,1,1,3,40,1,03,NA,4,2,NA,1
03442532,2,50,2,1,3,40,1,04,NA,4,2,45000,1
03442532,3,14,1,2,NA,NA,NA,,NA,4,NA,NA,NA
03442592,1,67,1,1,2,8,5,11,NA,1,NA,NA,2
03442592,2,64,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03442612,1,35,1,2,NA,NA,NA,,1,1,NA,NA,NA
03442612,2,33,2,1,4,22,1,04,2,1,2,6000,1
03442612,3,16,2,1,2,20,1,04,2,1,1,10400,1
03442612,4,8,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03442612,5,5,2,NA,NA,NA,NA,,2,1,NA,NA,NA
03442622,1,38,1,1,3,40,5,10,NA,1,NA,NA,2
03442622,2,37,2,1,3,40,1,02,NA,1,2,62000,1
03442622,3,15,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03442622,4,14,2,1,4,8,1,11,NA,1,NA,NA,1
03442642,1,41,1,1,1,50,2,15,NA,1,1,NA,1
03442642,2,44,2,1,1,38,1,03,NA,1,2,NA,1
03442652,1,63,2,1,1,40,1,01,NA,1,1,70000,1
03442682,1,46,1,1,1,50,1,01,NA,1,2,160000,1
03442682,2,46,2,1,1,40,1,03,NA,1,2,30000,1
03442682,3,17,1,1,4,18,1,10,NA,1,2,2000,1
03442732,1,45,2,1,1,40,1,10,NA,1,NA,NA,1
03442742,1,66,2,1,1,35,1,01,NA,1,2,28000,1
03442742,2,67,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03442772,1,37,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03442772,2,33,1,1,1,60,1,10,1,1,2,28800,1
03442772,3,9,2,NA,NA,NA,NA,,2,1,NA,NA,NA
03442772,4,3,2,NA,NA,NA,NA,,2,1,NA,NA,NA
03442772,5,0,2,NA,NA,NA,NA,,2,1,NA,NA,NA
03442792,1,54,2,1,1,40,4,04,NA,1,2,39000,1
03442822,1,34,1,1,1,40,1,02,NA,1,1,98654,1
03442822,2,30,2,1,1,40,1,01,NA,1,2,35000,1
03442832,1,62,1,1,2,25,1,10,2,1,1,25000,1
03442832,2,57,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03442832,3,19,1,1,4,20,3,07,NA,1,2,2400,1
03442842,1,72,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03442842,2,71,1,1,3,40,5,13,NA,1,NA,NA,2
03442872,1,59,1,1,1,60,1,03,NA,1,1,NA,1
03442872,2,53,2,1,2,30,1,11,NA,1,2,NA,1
03442892,1,55,1,1,1,40,1,03,NA,1,1,122000,1
03442902,1,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
